stop_lat,stop_name,stop_id,the_geom,stop_lon
-35.441063,Casey Cr after Were St,1094,POINT (149.11888100025084 -35.44106299933565),149.118881
-35.440384,Were St Netball Courts,1095,POINT (149.12071200025247 -35.44038399933567),149.120712
-35.440536,Were St after Tharwa Dr,1096,POINT (149.12068200025243 -35.440535999335665),149.120682
-35.445644,Louis Loder St after Lawrence Wackett Cr,1109,POINT (149.11677600024908 -35.44564399933523),149.116776
-35.445576,Louis Loder St after Hartung Cr,1110,POINT (149.11666900024898 -35.44557599933523),149.116669
-35.446537,Louis Loder St after 2nd Mehaffey Cr,1111,POINT (149.11451700024713 -35.446536999335194),149.114517
-35.446522,Louis Loder St after Vonwiller Cr,1112,POINT (149.11488300024743 -35.446521999335175),149.114883
-35.448009,Louis Loder St after Cochrane Cr,1113,POINT (149.11521900024772 -35.448008999335016),149.115219
-35.448128,Louis Loder St after 2nd Conlon Cr,1114,POINT (149.11526500024777 -35.448127999335),149.115265
-35.450546,Louis Loder St after 2nd Cochrane Cr,1115,POINT (149.11741600024965 -35.45054599933469),149.117416
-35.450596,Louis Loder St after Conlon Cr,1116,POINT (149.11726400024955 -35.4505959993347),149.117264
-35.43325,Clift Cr before Johnson Dr,1117,POINT (149.11842300025043 -35.433249999336475),149.118423
-35.433113,Clift Cr after Johnson Dr,1118,POINT (149.11822500025025 -35.43311299933649),149.118225
-35.431156,Clift Cr after 2nd Chauncy Cr,1119,POINT (149.11917100025104 -35.43115599933665),149.119171
-35.431118,Clift Cr after Fullerton Cr,1120,POINT (149.1193540002512 -35.43111799933667),149.119354
-35.429241,Deamer Cr after Clift Cr,1121,POINT (149.12144500025303 -35.42924099933682),149.121445
-35.429356,Deamer Cr after Meeson St,1122,POINT (149.12094100025257 -35.42935599933682),149.120941
-35.430847,Deamer Cr after Twamley Cr,1123,POINT (149.12353500025486 -35.430846999336595),149.123535
-35.430916,Deamer Cr after Mary MacKillop Pl,1124,POINT (149.12342800025482 -35.430915999336584),149.123428
-35.431496,Deamer Cr after 2nd Twamley Cr,1125,POINT (149.12706000025804 -35.43149599933644),149.12706
-35.431725,Deamer Cr before Mary MacKillop Pl,1126,POINT (149.12698400025795 -35.43172499933641),149.126984
-35.429424,Deamer Cr before Nina Jones Cr,1127,POINT (149.12879900025956 -35.429423999336606),149.128799
-35.429787,Deamer Cr after 2nd Nina Jones Cr,1128,POINT (149.12867700025947 -35.429786999336564),149.128677
-35.427319,Deamer Cr after Heagney Cr,1129,POINT (149.12980700026046 -35.42731899933679),149.129807
-35.427189,Deamer Cr before Heagney Cr,1130,POINT (149.12960800026025 -35.42718899933681),149.129608
-35.426487,Heagney Cr after Rose Scott Cr,1131,POINT (149.13099700026152 -35.42648699933684),149.130997
-35.426567,Heagney Cr after Deamer Cr,1132,POINT (149.13024900026085 -35.42656699933686),149.130249
-35.424587,Heagney Cr after Couchman Cr,1133,POINT (149.1332090002635 -35.42458699933698),149.133209
-35.424694,Heagney Cr after Hawton Pl,1134,POINT (149.13302600026333 -35.42469399933698),149.133026
-35.423046,Heagney Cr before Couchman Cr North Entry,1135,POINT (149.13491800026506 -35.423045999337106),149.134918
-35.423023,Heagney Cr after 2nd Couchman Cr,1136,POINT (149.1345370002647 -35.423022999337114),149.134537
-35.421379,Heagney Cr after Henry Melville Cr,1137,POINT (149.13598600026603 -35.42137899933725),149.135986
-35.420925,Heagney Cr after Emily Bulcock Cr,1138,POINT (149.13601700026607 -35.42092499933729),149.136017
-35.419228,Heagney Cr after Louisa Lawson Cr South Entry,1139,POINT (149.13609300026607 -35.41922799933746),149.136093
-35.419094,Heagney Cr after 2nd Henry Melville Cr,1140,POINT (149.135986000266 -35.41909399933748),149.135986
-35.416931,Heagney Cr before 2nd Louisa Lawson Cr,1141,POINT (149.13546800026552 -35.41693099933772),149.135468
-35.416759,Heagney Cr 3rd after Emily Bullock Cr,1142,POINT (149.13505600026514 -35.41675899933775),149.135056
-35.415211,Proctor St after Sweet Pl,1143,POINT (149.1251530002562 -35.415210999338164),149.125153
-35.415329,Proctor St after Maclean St,1144,POINT (149.1252590002563 -35.41532899933816),149.125259
-35.414936,Heagney Cr after Louisa Lawson Cr North Entry,1145,POINT (149.13290400026315 -35.414935999337985),149.132904
-35.414982,Heagney Cr before Hambidge Cr,1146,POINT (149.13281300026307 -35.414981999338),149.132813
-35.414421,Benham St Chisholm Shops,1147,POINT (149.1290590002597 -35.41442099933815),149.129059
-35.414482,Benham St opp Chisholm Shops,1148,POINT (149.12922700025982 -35.414481999338136),149.129227
-35.409004,Coyne St after Jackie Howe Cr,1149,POINT (149.12796000025867 -35.40900399933874),149.12796
-35.409157,Coyne St after Isabella Dr,1150,POINT (149.12777700025848 -35.409156999338734),149.127777
-35.409168,Coyne St after Bugden Av,1151,POINT (149.12310800025435 -35.409167999338855),149.123108
-35.409225,Coyne St before Fihelly St,1152,POINT (149.122726000254 -35.40922499933886),149.122726
-35.406963,Bugden Av after Coyne St,1153,POINT (149.120438000252 -35.40696299933914),149.120438
-35.406757,Bugden Av after Larcombe Cr,1154,POINT (149.12046800025198 -35.40675699933917),149.120468
-35.404228,Bugden Av before Demaine Cr,1155,POINT (149.12245200025373 -35.40422799933938),149.122452
-35.404354,Bugden Av after Fihelly St,1156,POINT (149.12196400025329 -35.4043539993394),149.121964
-35.402393,Bugden Av after 2nd Demaine Cr,1157,POINT (149.12413000025518 -35.402392999339526),149.12413
-35.401344,Bugden Av after Mullan St,1158,POINT (149.12355000025468 -35.40134399933966),149.12355
-35.398518,Bugden Av after 2nd Mullan St,1159,POINT (149.12211600025338 -35.39851799933998),149.122116
-35.398529,Bugden Av after Courtice Cl,1160,POINT (149.12219200025348 -35.39852899933998),149.122192
-35.400242,Bugden Av after Dash Cr,1161,POINT (149.1156920002478 -35.40024199933997),149.115692
-35.401436,Bugden Av after Partridge St,1162,POINT (149.11427300024656 -35.40143599933989),149.114273
-35.401321,Bugden Av 2nd after Appel Cr,1163,POINT (149.1127620002453 -35.40132099933994),149.112762
-35.401833,Bugden Av after Maughan Cr,1164,POINT (149.1103060002432 -35.401832999339945),149.110306
-35.401741,Bugden Av after Appel Cr,1165,POINT (149.11001600024295 -35.401740999339964),149.110016
-35.402649,Bugden Av after Sternberg Cr,1166,POINT (149.10748300024082 -35.40264899933993),149.107483
-35.402691,Bugden Av before Sternberg Cr,1167,POINT (149.10755900024088 -35.40269099933994),149.107559
-35.39954,Bugden Av after 2nd Dash Cr,1168,POINT (149.11582900024789 -35.399539999340035),149.115829
-35.398911,Longmore Cr after Angliss Pl,1169,POINT (149.09947200023407 -35.398910999340515),149.099472
-35.40226,Sternberg Cr after Erindale Dr,1170,POINT (149.10328700023732 -35.402259999340075),149.103287
-35.401943,Sternberg Cr after Ashley Dr,1171,POINT (149.10057100023505 -35.401942999340186),149.100571
-35.403648,Comrie St Erindale Centre Plt 1,1172,POINT (149.09916700023388 -35.403647999340016),149.099167
-35.403801,Comrie St opp Erindale Centre Plt 2,1173,POINT (149.09938000023408 -35.40380099934001),149.09938
-35.401993,Sternberg Cr before Erindale Dr,1174,POINT (149.10275300023685 -35.40199299934011),149.102753
-35.403908,McBryde Cr Erindale Centre,1176,POINT (149.09599300023126 -35.40390799934008),149.095993
-35.404015,McBryde Cr opp Erindale Centre,1177,POINT (149.09584000023116 -35.404014999340085),149.09584
-35.405556,Amsinck St after McBryde Cr,1178,POINT (149.0935520002293 -35.40555599933995),149.093552
-35.405602,Amsinck St after Erindale Dr,1179,POINT (149.0932920002291 -35.40560199933997),149.093292
-35.406139,MacKillop College McBryde Cr,1180,POINT (149.0905760002269 -35.40613899933998),149.090576
-35.406265,McBryde Cr opp MacKillop College,1181,POINT (149.0905610002269 -35.40626499933998),149.090561
-35.441864,Woodcock Dr after Covenant CLG,1182,POINT (149.0861820002236 -35.44186399933638),149.086182
-35.441692,Woodcock Dr before Drakeford Dr,1183,POINT (149.0861510002236 -35.441691999336406),149.086151
-35.443043,Clare Dennis Av after Woodcock Dr,1184,POINT (149.08596800022346 -35.44304299933627),149.085968
-35.44516,Clare Dennis Av after Churchill Wy,1185,POINT (149.08779900022492 -35.445159999336),149.087799
-35.44677,Clare Dennis Av after Fred Lane Cr,1186,POINT (149.08607500022353 -35.446769999335864),149.086075
-35.44709,Clare Dennis Av after 2nd Fred Lane Cr,1187,POINT (149.0838470002218 -35.447089999335894),149.083847
-35.448402,Lewis Luxton Av after Preddy Wy,1188,POINT (149.08612100022359 -35.448401999335694),149.086121
-35.450436,Lewis Luxton Av after Flegg Cr,1189,POINT (149.08909600022602 -35.45043599933542),149.089096
-35.452904,Lewis Luxton Av after Sid Barnes Cr,1190,POINT (149.0879670002251 -35.452903999335184),149.087967
-35.458122,Knoke Av opp Gordon Primary School,1191,POINT (149.08612100022367 -35.458121999334686),149.086121
-35.460579,Knoke Av 2nd after Jim Pike Av,1192,POINT (149.08566300022335 -35.46057899933444),149.085663
-35.46228,Knoke Av after Jim Pike Av,1193,POINT (149.0832060002214 -35.46227999933433),149.083206
-35.462017,Jim Pike Av after Knoke St,1194,POINT (149.0799100002188 -35.46201699933442),149.07991
-35.459068,Callaway Cr after 2nd Wootton Cr,1195,POINT (149.0800480002189 -35.459067999334735),149.080048
-35.460037,Callaway Cr after Myles Connell Cr,1196,POINT (149.08174100022023 -35.460036999334584),149.081741
-35.39864,Bugden Av after Chataway Cr,1197,POINT (149.11756900024943 -35.398639999340105),149.117569
-35.398045,Bugden Av after Nicklin Cr,1198,POINT (149.11825600025003 -35.398044999340144),149.118256
-35.464787,Knoke Av after Clem Hill St,1199,POINT (149.08418300022217 -35.46478699933404),149.084183
-35.467258,Knoke Av after 2nd Harry Hopman Cct,1200,POINT (149.08764600022496 -35.46725799933369),149.087646
