,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
,Palmerston,0,3,0,0,8,1,5,6,24,22,17,0,1,0,4,0,0,5,0,1,8,15,24,13,0,2,0,0,1,0,7,1,3,5,10,19,4,0,0,0,6,0,0,4,0,2,8,15,12,24,0,0
,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
,Throsby,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Canberra,,0,155,19,9,102,14,48,235,719,580,538,0,37,0,175,17,3,140,16,66,279,621,520,622,0,37,0,159,15,6,121,9,34,217,555,768,596,0,23,0,186,12,4,150,17,40,362,529,547,650,0,24
,Acton,0,4,2,0,5,0,2,9,20,54,20,0,4,0,5,2,0,19,0,1,25,17,31,42,0,1,0,3,2,1,1,0,0,7,16,54,31,0,2,0,4,2,1,1,0,2,29,16,70,48,0,1
,Ainslie,0,6,1,0,13,0,3,33,18,13,32,0,2,0,2,1,0,8,0,4,16,14,14,27,0,2,0,11,0,0,12,0,2,23,24,24,33,0,0,0,4,2,0,7,1,3,24,24,27,31,0,0
,Black Mountain,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,2,2,5,0,0
,Braddon,0,16,1,1,20,4,11,34,83,43,106,0,6,0,11,3,0,21,4,8,55,77,59,103,0,3,0,15,0,0,18,4,9,51,81,55,109,0,2,0,11,0,0,28,2,10,51,66,47,93,0,3
,Campbell,0,2,0,1,1,0,0,15,8,12,8,0,1,0,3,0,1,12,0,3,12,4,19,20,0,1,0,0,6,0,7,0,3,8,20,24,16,0,2,0,1,1,0,5,0,1,9,7,13,18,0,0
,City,0,93,9,4,11,5,6,32,272,104,134,0,6,0,127,4,0,12,7,22,41,288,123,167,0,8,0,97,3,3,19,4,3,35,246,164,189,0,8,0,116,2,3,28,6,3,53,228,136,149,0,4
,Dickson,0,7,1,1,8,1,1,12,38,51,79,0,1,0,6,2,0,12,0,4,18,60,31,70,0,5,0,5,2,1,13,1,3,16,34,44,65,0,1,0,17,0,0,16,3,4,30,47,45,62,0,1
,Downer,0,4,0,0,2,0,2,10,19,8,6,0,1,0,2,0,0,3,0,1,2,14,10,9,0,0,0,1,0,0,7,0,1,6,4,5,8,0,0,0,2,2,0,3,0,2,7,12,2,9,0,1
,Duntroon,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
,Hackett,0,1,0,0,2,0,0,3,3,3,5,0,1,0,0,1,0,0,2,0,1,1,0,6,0,1,0,4,0,0,1,0,1,4,5,7,6,0,0,0,1,0,0,0,1,0,12,6,0,24,0,1
,Lyneham,0,11,1,1,9,2,5,15,34,52,53,0,3,0,1,2,0,10,1,5,16,33,37,45,0,4,0,3,1,1,9,0,3,18,27,83,38,0,1,0,11,1,0,23,1,5,22,37,37,65,0,4
,Majura,0,0,0,0,0,0,1,2,91,58,2,0,2,0,0,0,0,4,0,3,0,12,46,11,0,1,0,0,0,0,2,0,1,1,7,126,7,0,1,0,1,0,0,1,0,1,4,22,71,9,0,2
,O'Connor,0,1,2,0,8,0,3,13,17,49,22,0,2,0,2,0,0,4,0,2,24,11,31,24,0,0,0,3,0,0,8,0,2,9,23,45,20,0,0,0,7,0,0,1,3,3,28,18,17,21,0,0
,Parkes,0,2,0,0,0,1,0,2,22,12,6,0,3,0,0,2,0,3,0,0,11,13,15,16,0,2,0,2,0,0,1,0,1,8,8,24,10,0,0,0,0,0,0,3,0,2,20,5,11,25,0,1
,Reid,0,3,2,1,10,0,7,22,29,21,26,0,2,0,6,0,1,12,0,5,17,32,24,18,0,1,0,4,0,0,3,0,1,6,19,40,16,0,2,0,7,2,0,19,0,2,13,13,17,29,0,2
,Russell,0,0,0,0,0,0,0,0,7,25,0,0,1,0,0,0,0,0,0,0,1,4,11,0,0,2,0,0,0,0,0,0,0,0,12,15,8,0,0,0,0,0,0,0,0,1,7,1,7,3,0,0
,Turner,0,3,0,0,6,1,4,21,38,51,16,0,2,0,6,0,1,11,2,3,26,17,37,42,0,2,0,7,1,0,7,0,2,17,21,35,30,0,2,0,1,0,0,8,0,0,23,17,26,36,0,2
,Watson,0,2,0,0,7,0,3,10,16,19,22,0,0,0,4,0,0,9,0,4,14,23,18,22,0,3,0,4,0,0,13,0,2,8,8,15,10,0,2,0,3,0,0,7,0,1,23,8,9,23,0,2
South Canberra,,0,38,3,1,68,0,36,115,297,247,223,1,27,0,39,8,0,115,7,44,193,209,359,359,0,23,0,39,3,1,82,6,37,197,252,478,360,1,19,0,45,15,3,138,2,36,183,252,246,426,0,24
,Barton,0,2,0,0,1,0,0,7,7,29,4,0,2,0,0,0,0,7,0,2,9,11,17,14,0,1,0,0,0,0,5,0,1,4,17,37,14,0,2,0,0,11,0,7,0,0,12,14,9,19,0,1
,Beard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
,Capital Hill,0,0,0,0,0,0,0,1,7,3,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,5,2,2,0,0
,Deakin,0,1,0,0,4,0,0,1,18,27,17,1,1,0,0,1,0,24,1,2,24,6,36,33,0,3,0,4,0,0,2,0,1,13,12,45,19,0,1,0,2,1,0,6,0,1,11,12,29,19,0,0
,Forrest,0,1,0,0,0,0,0,1,6,6,3,0,2,0,0,0,0,6,0,5,4,6,13,12,0,1,0,0,0,0,3,0,0,9,8,10,7,0,2,0,0,0,0,4,0,0,8,3,16,13,0,0
,Fyshwick,0,7,1,0,29,0,9,14,100,53,57,0,3,0,9,4,0,20,2,8,14,45,77,74,0,2,0,7,0,0,21,2,12,25,51,114,77,0,2,0,5,1,0,43,0,10,24,65,50,84,0,6
,Griffith,0,6,0,0,5,0,7,18,31,8,35,0,2,0,6,0,0,14,1,9,27,24,18,71,0,1,0,1,0,0,8,1,4,25,33,30,71,0,2,0,5,0,0,15,1,7,27,43,21,71,0,3
,Harman,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kingston,0,6,0,0,9,0,9,21,15,12,34,0,1,0,8,0,0,12,0,2,31,20,12,53,0,4,0,8,1,0,11,0,4,36,26,19,65,0,0,0,5,0,0,25,0,4,29,25,22,64,0,2
,Narrabundah,0,5,0,0,11,0,6,23,41,16,26,0,2,0,10,1,0,19,2,10,38,25,27,47,0,1,0,10,0,1,16,3,6,43,37,52,60,0,1,0,11,1,2,22,0,6,30,30,18,65,0,0
,Oaks Estate,0,3,0,0,0,0,1,4,9,9,0,0,2,0,0,0,0,0,1,2,1,4,1,2,0,0,0,1,0,0,1,0,2,6,9,2,6,0,0,0,2,0,0,1,0,2,4,2,2,3,0,0
,Pialligo,0,0,0,0,1,0,0,2,8,38,2,0,3,0,0,0,0,3,0,1,0,7,67,2,0,0,0,0,0,0,0,0,0,1,1,78,0,0,2,0,0,0,0,1,0,0,0,9,29,1,0,4
,Red Hill,0,4,2,0,5,0,1,11,14,12,17,0,4,0,5,0,0,5,0,1,20,26,19,23,0,3,0,4,2,0,9,0,1,17,29,18,23,1,1,0,9,1,0,10,1,3,18,17,8,58,0,2
