352390:80020950000,80071,Hawker (ACT),8,Australian Capital Territory,0.0119
352391:80020910000,80071,Hawker (ACT),8,Australian Capital Territory,0.0229
352392:80020940000,80071,Hawker (ACT),8,Australian Capital Territory,0.0117
352393:80020550000,80071,Hawker (ACT),8,Australian Capital Territory,0.0083
352394:80020900000,80071,Hawker (ACT),8,Australian Capital Territory,0.0285
352395:80020893000,80071,Hawker (ACT),8,Australian Capital Territory,0.0168
352396:80020891000,80071,Hawker (ACT),8,Australian Capital Territory,0.0114
352397:80020920000,80071,Hawker (ACT),8,Australian Capital Territory,0.0161
352398:80020540000,80071,Hawker (ACT),8,Australian Capital Territory,0.0075
352399:80020630000,80071,Hawker (ACT),8,Australian Capital Territory,0.0868
352400:80020620000,80071,Hawker (ACT),8,Australian Capital Territory,0.1033
352401:80020590000,80071,Hawker (ACT),8,Australian Capital Territory,0.0124
352402:80020960000,80071,Hawker (ACT),8,Australian Capital Territory,0.0591
352403:80020600000,80071,Hawker (ACT),8,Australian Capital Territory,0.0763
352404:80020611000,80071,Hawker (ACT),8,Australian Capital Territory,0.0314
352405:80020530000,80071,Hawker (ACT),8,Australian Capital Territory,0.0608
352406:80020640000,80071,Hawker (ACT),8,Australian Capital Territory,0.0695
352407:80020790000,80071,Hawker (ACT),8,Australian Capital Territory,0.1316
352408:80020780000,80071,Hawker (ACT),8,Australian Capital Territory,0.0704
352409:80056490700,80001,ACT Remainder - Belconnen,8,Australian Capital Territory,0.0218
352410:80020650000,80071,Hawker (ACT),8,Australian Capital Territory,0.0268
352411:80020700000,80071,Hawker (ACT),8,Australian Capital Territory,0.0429
352412:80020660000,80071,Hawker (ACT),8,Australian Capital Territory,0.0095
352413:80020680000,80071,Hawker (ACT),8,Australian Capital Territory,0.0664
352414:80020690000,80071,Hawker (ACT),8,Australian Capital Territory,0.0479
352415:80020670000,80071,Hawker (ACT),8,Australian Capital Territory,0.052
352416:80020740000,80071,Hawker (ACT),8,Australian Capital Territory,0.0178
352417:80020730000,80071,Hawker (ACT),8,Australian Capital Territory,0.0167
352418:80020612000,80071,Hawker (ACT),8,Australian Capital Territory,0.0099
352419:80020720000,80071,Hawker (ACT),8,Australian Capital Territory,0.0306
352420:80020770000,80071,Hawker (ACT),8,Australian Capital Territory,0.044
352421:80020760000,80071,Hawker (ACT),8,Australian Capital Territory,0.0347
352422:80020750000,80071,Hawker (ACT),8,Australian Capital Territory,0.0726
